City,Year,Level 1 Station Count,Level 2 Station Count,Level 3 Station Count,Total Level 1 Station Count,Total Level 2 Station Count,Total Level 3 Station Count,Level All Station Count,Total Level All Station Count
Massachusetts,2009,0,1,0,0,1,0,1,1
Massachusetts,2010,1,1,0,1,2,0,2,3
Massachusetts,2011,0,1,0,1,3,0,1,4
Massachusetts,2012,0,31,17,1,34,17,48,52
Massachusetts,2013,0,11,0,1,45,17,11,63
Massachusetts,2014,0,20,1,1,65,18,21,84
Massachusetts,2015,0,33,3,1,98,21,36,120
Massachusetts,2016,0,21,2,1,119,23,23,143
Massachusetts,2017,0,16,1,1,135,24,17,160
Massachusetts,2018,0,50,17,1,185,41,67,227
Massachusetts,2019,0,113,11,1,298,52,124,351
Massachusetts,2020,1,325,14,2,623,66,340,691
Massachusetts,2021,0,934,19,2,1557,85,953,1644
Massachusetts,2022,0,501,29,2,2058,114,530,2174
Massachusetts,2023,1,510,53,3,2568,167,564,2738
Massachusetts,2024,0,611,137,3,3179,304,748,3486
Massachusetts,2025,0,88,26,3,3267,330,114,3600
Abington,2023,0,2,0,0,2,0,2,2
Abington,2024,0,1,0,0,3,0,1,3
Acton,2014,0,1,0,0,1,0,1,1
Acton,2019,0,3,0,0,4,0,3,4
Acton,2020,0,2,0,0,6,0,2,6
Acton,2021,0,3,0,0,9,0,3,9
Acton,2022,0,1,0,0,10,0,1,10
Acton,2023,0,1,0,0,11,0,1,11
Acton,2024,0,7,5,0,18,5,12,23
Adams,2024,0,5,0,0,5,0,5,5
Agawam,2019,0,3,0,0,3,0,3,3
Agawam,2020,0,4,0,0,7,0,4,7
Agawam,2024,0,3,0,0,10,0,3,10
Agawam,2025,0,3,3,0,13,3,6,16
Allston,2016,0,1,0,0,1,0,1,1
Amesbury,2017,0,1,0,0,1,0,1,1
Amesbury,2020,0,4,0,0,5,0,4,5
Amesbury,2021,0,8,0,0,13,0,8,13
Amesbury,2022,0,1,0,0,14,0,1,14
Amherst,2017,0,1,0,0,1,0,1,1
Amherst,2019,0,2,0,0,3,0,2,3
Amherst,2020,0,14,0,0,17,0,14,17
Amherst,2021,0,10,0,0,27,0,10,27
Amherst,2022,0,5,0,0,32,0,5,32
Amherst,2023,0,2,0,0,34,0,2,34
Amherst,2024,0,6,0,0,40,0,6,40
Andover,2020,0,5,0,0,5,0,5,5
Andover,2021,0,4,0,0,9,0,4,9
Andover,2022,0,3,0,0,12,0,3,12
Andover,2023,0,1,0,0,13,0,1,13
Andover,2024,0,4,0,0,17,0,4,17
Aquinnah,2022,0,2,0,0,2,0,2,2
Arlington,2019,0,1,0,0,1,0,1,1
Arlington,2020,0,2,0,0,3,0,2,3
Arlington,2021,0,1,0,0,4,0,1,4
Arlington,2022,0,2,1,0,6,1,3,7
Arlington,2023,0,1,0,0,7,1,1,8
Arlington,2024,0,2,2,0,9,3,4,12
Ashburnham,2022,0,2,0,0,2,0,2,2
Ashfiled,2024,0,1,0,0,1,0,1,1
Ashland,2024,0,1,0,0,1,0,1,1
Athol,2014,0,1,0,0,1,0,1,1
Athol,2021,0,2,0,0,3,0,2,3
Athol,2024,0,3,0,0,6,0,3,6
Attleboro,2021,0,1,0,0,1,0,1,1
Attleboro,2022,0,3,0,0,4,0,3,4
Attleboro,2024,0,1,0,0,5,0,1,5
Attleboro,2025,0,8,0,0,13,0,8,13
Auburn,2012,0,1,1,0,1,1,2,2
Auburn,2015,0,0,1,0,1,2,1,3
Auburn,2018,0,1,1,0,2,3,2,5
Auburn,2020,0,0,1,0,2,4,1,6
Auburn,2021,0,3,0,0,5,4,3,9
Auburn,2022,0,2,0,0,7,4,2,11
Auburn,2023,0,0,1,0,7,5,1,12
Auburn,2024,0,1,0,0,8,5,1,13
Avon,2020,0,1,0,0,1,0,1,1
Ayer,2020,0,1,0,0,1,0,1,1
Ayer,2023,0,3,0,0,4,0,3,4
Ayer,2024,0,3,3,0,7,3,6,10
Barnstable,2012,0,1,0,0,1,0,1,1
Barnstable,2013,0,1,0,0,2,0,1,2
Barnstable,2015,0,1,0,0,3,0,1,3
Barnstable,2020,0,4,0,0,7,0,4,7
Barnstable,2021,0,3,0,0,10,0,3,10
Barnstable,2023,0,6,2,0,16,2,8,18
Barnstable,2024,0,6,2,0,22,4,8,26
Barre,2018,0,1,0,0,1,0,1,1
Becket,2019,0,1,0,0,1,0,1,1
Becket,2021,0,1,0,0,2,0,1,2
Bedford,2021,0,7,0,0,7,0,7,7
Bedford,2022,0,3,0,0,10,0,3,10
Bedford,2023,0,1,0,0,11,0,1,11
Bedford,2024,0,7,0,0,18,0,7,18
Bedford,2025,0,3,0,0,21,0,3,21
Belchertown,2023,0,1,0,0,1,0,1,1
Belchertown,2024,0,3,0,0,4,0,3,4
Bellingham,2022,0,1,0,0,1,0,1,1
Bellingham,2023,0,1,0,0,2,0,1,2
Belmont,2019,0,1,0,0,1,0,1,1
Belmont,2023,0,2,1,0,3,1,3,4
Belmont,2024,0,2,0,0,5,1,2,6
Beverly,2018,0,1,0,0,1,0,1,1
Beverly,2020,0,3,0,0,4,0,3,4
Beverly,2021,0,20,0,0,24,0,20,24
Beverly,2022,0,6,0,0,30,0,6,30
Beverly,2023,0,2,0,0,32,0,2,32
Billerica,2022,0,6,2,0,6,2,8,8
Billerica,2024,0,0,2,0,6,4,2,10
Blackstone,2020,0,1,0,0,1,0,1,1
Blackstone,2021,0,1,0,0,2,0,1,2
Bolton,2021,0,2,0,0,2,0,2,2
Boston,2009,0,1,0,0,1,0,1,1
Boston,2011,0,1,0,0,2,0,1,2
Boston,2014,0,4,0,0,6,0,4,6
Boston,2015,0,7,0,0,13,0,7,13
Boston,2016,0,5,0,0,18,0,5,18
Boston,2017,0,5,0,0,23,0,5,23
Boston,2018,0,4,3,0,27,3,7,30
Boston,2019,0,13,3,0,40,6,16,46
Boston,2020,0,44,0,0,84,6,44,90
Boston,2021,0,202,0,0,286,6,202,292
Boston,2022,0,55,0,0,341,6,55,347
Boston,2023,0,90,0,0,431,6,90,437
Boston,2024,0,113,13,0,544,19,126,563
Boston,2025,0,8,8,0,552,27,16,579
Bourne,2012,0,1,1,0,1,1,2,2
Bourne,2021,0,5,0,0,6,1,5,7
Boxborough,2021,0,2,0,0,2,0,2,2
Boxborough,2023,0,1,0,0,3,0,1,3
Boxford,2019,0,2,0,0,2,0,2,2
Braintree,2018,0,1,1,0,1,1,2,2
Braintree,2019,0,0,1,0,1,2,1,3
Braintree,2020,0,2,1,0,3,3,3,6
Braintree,2021,0,1,0,0,4,3,1,7
Braintree,2022,0,2,0,0,6,3,2,9
Braintree,2023,0,3,4,0,9,7,7,16
Braintree,2024,0,1,2,0,10,9,3,19
Brewster,2017,0,1,0,0,1,0,1,1
Bridgewater,2014,0,1,0,0,1,0,1,1
Bridgewater,2020,0,1,0,0,2,0,1,2
Bridgewater,2021,0,3,4,0,5,4,7,9
Bridgewater,2022,0,2,0,0,7,4,2,11
