City,Year,Capacity (kW DC) Residential (3 or fewer dwelling units per building),Project Count Residential (3 or fewer dwelling units per building),Capacity (kW DC) Other,Project Count Other,Capacity (kW DC) School (K-12),Project Count School (K-12),Capacity (kW DC) Agricultural,Project Count Agricultural,Capacity (kW DC) College / University,Project Count College / University,Capacity (kW DC) Commercial / Office,Project Count Commercial / Office,Capacity (kW DC) Municipal - K-12 School,Project Count Municipal - K-12 School,Capacity (kW DC) Municipal / Government / Public,Project Count Municipal / Government / Public,Capacity (kW DC) Retail,Project Count Retail,Capacity (kW DC) Mixed use (commercial & residential),Project Count Mixed use (commercial & residential),Capacity (kW DC) Religious,Project Count Religious,Capacity (kW DC) Industrial,Project Count Industrial,Capacity (kW DC) Multi-family residential (4 or more dwelling units per building),Project Count Multi-family residential (4 or more dwelling units per building),Capacity (kW DC) Hospital / Health Care,Project Count Hospital / Health Care,Capacity (kW DC) Restaurant / Food Service,Project Count Restaurant / Food Service,Capacity (kW DC) Federal,Project Count Federal,Capacity (kW DC) Community Solar,Project Count Community Solar,Capacity (kW DC) State,Project Count State,Capacity (kW DC) State - College/University,Project Count State - College/University,Capacity (kW DC) All,Project Count All,Capacity (kW DC) Commercial,Project Count Commercial,Capacity (kW DC) Municipal,Project Count Municipal,Capacity (kW DC) State/Fed,Project Count State/Fed,Capacity (kW DC) All Cumulative,Project Count All Cumulative,Capacity (kW DC) Residential Cumulative,Project Count Residential Cumulative,Capacity (kW DC) Multifamily Cumulative,Project Count Multifamily Cumulative,Capacity (kW DC) Mixed use Cumulative,Project Count Mixed use Cumulative,Capacity (kW DC) Commercial Cumulative,Project Count Commercial Cumulative,Capacity (kW DC) Municipal Cumulative,Project Count Municipal Cumulative,Capacity (kW DC) State/Fed Cumulative,Project Count State/Fed Cumulative,Capacity (kW DC) Industrial Cumulative,Project Count Industrial Cumulative,Capacity (kW DC) Agricultural Cumulative,Project Count Agricultural Cumulative,Capacity (kW DC) Community Solar Cumulative,Project Count Community Solar Cumulative,Capacity (kW DC) Other Cumulative,Project Count Other Cumulative
Massachusetts,2000,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,2001,0.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,2.0,1.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,2002,,,14.951,1.0,21.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.551,2.0,21.6,1.0,0.0,0.0,0.0,0.0,37.591,4.0,1.04,2.0,0.0,0.0,0.0,0.0,21.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.951,1.0
Massachusetts,2003,102.468,53.0,,,,,1.12,1.0,43.68,2.0,58.552,5.0,61.36,3.0,14.4,5.0,3.7279999999999998,2.0,,,,,,,,,,,,,,,,,,,,,285.308,71.0,105.96000000000001,9.0,75.76,8.0,0.0,0.0,322.899,75.0,103.50800000000001,55.0,0.0,0.0,0.0,0.0,127.56,10.0,75.76,8.0,0.0,0.0,0.0,0.0,1.12,1.0,0.0,0.0,14.951,1.0
Massachusetts,2004,253.007,100.0,,,2.88,1.0,,,24.150000000000002,4.0,120.96000000000001,5.0,53.275000000000006,6.0,32.59,3.0,91.785,7.0,7.014,1.0,7.4399999999999995,2.0,,,,,,,,,,,,,,,,,593.1010000000001,129.0,247.215,19.0,85.86500000000001,9.0,0.0,0.0,916.0000000000001,204.0,356.515,155.0,0.0,0.0,7.014,1.0,374.775,29.0,161.625,17.0,0.0,0.0,0.0,0.0,1.12,1.0,0.0,0.0,14.951,1.0
Massachusetts,2005,141.984,58.0,17.02,3.0,52.38,3.0,3.78,1.0,27.060000000000002,3.0,31.866,4.0,188.53,10.0,25.96,2.0,,,6.93,1.0,,,210.68,5.0,101.75999999999999,3.0,,,,,,,,,,,,,807.95,93.0,111.30600000000001,10.0,214.49,12.0,0.0,0.0,1723.9500000000003,297.0,498.499,213.0,101.75999999999999,3.0,13.943999999999999,2.0,486.081,39.0,376.115,29.0,0.0,0.0,210.68,5.0,4.9,2.0,0.0,0.0,31.971,4.0
Massachusetts,2006,543.921,193.0,98.445,11.0,9.24,1.0,37.769999999999996,6.0,84.705,5.0,203.348,12.0,147.75,25.0,466.83,4.0,,,10.16,2.0,,,176.44,2.0,,,71.16,2.0,,,,,,,,,,,1849.769,263.0,368.45300000000003,20.0,614.5799999999999,29.0,0.0,0.0,3573.719,560.0,1042.42,406.0,101.75999999999999,3.0,24.104,4.0,854.5340000000001,59.0,990.6949999999999,58.0,0.0,0.0,387.12,7.0,42.669999999999995,8.0,0.0,0.0,130.416,15.0
Massachusetts,2007,553.678,180.0,118.39999999999999,7.0,12.57,2.0,23.32,5.0,132.6,4.0,146.71,7.0,44.22,4.0,386.832,3.0,,,45.12,2.0,,,,,78.176,2.0,3.72,1.0,95.03999999999999,2.0,,,,,,,,,1640.386,219.0,390.64,16.0,431.052,7.0,0.0,0.0,5214.105,779.0,1596.098,586.0,179.93599999999998,5.0,69.22399999999999,6.0,1245.174,75.0,1421.7469999999998,65.0,0.0,0.0,387.12,7.0,65.99,13.0,0.0,0.0,248.81599999999997,22.0
Massachusetts,2008,1130.083,302.0,56.018,7.0,27.75,3.0,81.11,9.0,58.858999999999995,5.0,1108.1989999999998,25.0,51.2,3.0,14.66,3.0,45.82,6.0,50.4,1.0,17.439999999999998,3.0,662.244,7.0,310.84000000000003,8.0,3.8,1.0,19.58,2.0,,,,,,,,,3638.0029999999997,385.0,1281.4479999999996,45.0,65.86,6.0,0.0,0.0,8852.108,1164.0,2726.181,888.0,490.776,13.0,119.624,7.0,2526.6219999999994,120.0,1487.607,71.0,0.0,0.0,1049.364,14.0,147.1,22.0,0.0,0.0,304.834,29.0
Massachusetts,2009,2688.9405,659.0,299.715,9.0,178.1,4.0,172.365,13.0,852.3,6.0,1093.388,30.0,799.031,10.0,750.325,25.0,318.18899999999996,9.0,30.24,1.0,,,1054.195,13.0,1277.375,30.0,54.12,3.0,71.84,4.0,33.6,1.0,,,,,,,9673.7235,817.0,2567.9369999999994,56.0,1549.356,35.0,33.6,1.0,18525.8315,1981.0,5415.1215,1547.0,1768.151,43.0,149.864,8.0,5094.558999999999,176.0,3036.9629999999997,106.0,33.6,1.0,2103.559,27.0,319.46500000000003,35.0,0.0,0.0,604.549,38.0
