,City,Year,Capacity (kW DC) Agricultural,Capacity (kW DC) All,Capacity (kW DC) College / University,Capacity (kW DC) Commercial / Office,Capacity (kW DC) Community Solar,Capacity (kW DC) Federal,Capacity (kW DC) Hospital / Health Care,Capacity (kW DC) Industrial,Capacity (kW DC) Mixed Use,Capacity (kW DC) Multi-family residential,Capacity (kW DC) Municipal - K-12 School,Capacity (kW DC) Municipal / Government / Public,Capacity (kW DC) Non-Profit,Capacity (kW DC) Other,Capacity (kW DC) Religious,Capacity (kW DC) Residential,Capacity (kW DC) Restaurant / Food Service,Capacity (kW DC) Retail,Capacity (kW DC) School (K-12),Capacity (kW DC) State,Capacity (kW DC) State - College/University,Capacity (kW DC) Unknown,Project Count Agricultural,Project Count All,Project Count College / University,Project Count Commercial / Office,Project Count Community Solar,Project Count Federal,Project Count Hospital / Health Care,Project Count Industrial,Project Count Mixed Use,Project Count Multi-family residential,Project Count Municipal - K-12 School,Project Count Municipal / Government / Public,Project Count Non-Profit,Project Count Other,Project Count Religious,Project Count Residential,Project Count Restaurant / Food Service,Project Count Retail,Project Count School (K-12),Project Count State,Project Count State - College/University,Project Count Unknown,Cumulative Capacity (kW DC) Agricultural,Cumulative Capacity (kW DC) All,Cumulative Capacity (kW DC) College / University,Cumulative Capacity (kW DC) Commercial / Office,Cumulative Capacity (kW DC) Community Solar,Cumulative Capacity (kW DC) Federal,Cumulative Capacity (kW DC) Hospital / Health Care,Cumulative Capacity (kW DC) Industrial,Cumulative Capacity (kW DC) Mixed Use,Cumulative Capacity (kW DC) Multi-family residential,Cumulative Capacity (kW DC) Municipal - K-12 School,Cumulative Capacity (kW DC) Municipal / Government / Public,Cumulative Capacity (kW DC) Non-Profit,Cumulative Capacity (kW DC) Other,Cumulative Capacity (kW DC) Religious,Cumulative Capacity (kW DC) Residential,Cumulative Capacity (kW DC) Restaurant / Food Service,Cumulative Capacity (kW DC) Retail,Cumulative Capacity (kW DC) School (K-12),Cumulative Capacity (kW DC) State,Cumulative Capacity (kW DC) State - College/University,Cumulative Capacity (kW DC) Unknown,Cumulative Project Count Agricultural,Cumulative Project Count All,Cumulative Project Count College / University,Cumulative Project Count Commercial / Office,Cumulative Project Count Community Solar,Cumulative Project Count Federal,Cumulative Project Count Hospital / Health Care,Cumulative Project Count Industrial,Cumulative Project Count Mixed Use,Cumulative Project Count Multi-family residential,Cumulative Project Count Municipal - K-12 School,Cumulative Project Count Municipal / Government / Public,Cumulative Project Count Non-Profit,Cumulative Project Count Other,Cumulative Project Count Religious,Cumulative Project Count Residential,Cumulative Project Count Restaurant / Food Service,Cumulative Project Count Retail,Cumulative Project Count School (K-12),Cumulative Project Count State,Cumulative Project Count State - College/University,Cumulative Project Count Unknown,Capacity (kW DC) Commercial,Capacity (kW DC) Municipal,Project Count Commercial,Project Count Municipal,Cumulative Capacity (kW DC) Commercial,Cumulative Project Count Commercial,Cumulative Project Count Municipal,Cumulative Capacity (kW DC) Municipal,TPO Count N,TPO Count Y,Cumulative TPO Count N,Cumulative TPO Count Y,pct res TPO cum
0,Abington,2011,,27.508000000000003,,,,,,,,,,,,,,27.508000000000003,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,27.508000000000003,,,,,,,,,,,,,,27.508000000000003,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,50.0
1,Abington,2012,,364.7,,,,,,,,,,,,,,9.510000000000002,,355.19,,,,,,3.0,,,,,,,,,,,,,,2.0,,1.0,,,,,,392.20799999999997,,,,,,,,,,,,,,37.018,,355.19,,,,,,7.0,,,,,,,,,,,,,,6.0,,1.0,,,,,355.19,0.0,1.0,0.0,355.19,1.0,0.0,0.0,,2.0,2.0,4.0,66.66666666666667
2,Abington,2013,,43.129999999999995,,18.72,,,,,,,,,,,,24.41,,,,,,,,5.0,,1.0,,,,,,,,,,,,4.0,,,,,,,,435.33799999999997,,18.72,,,,,,,,,,,,61.428000000000004,,355.19,,,,,,12.0,,1.0,,,,,,,,,,,,10.0,,1.0,,,,,18.72,0.0,1.0,0.0,373.90999999999997,2.0,0.0,0.0,2.0,2.0,4.0,6.0,60.0
3,Abington,2014,,906.79,,,,,,,,147.62,,,,,,166.25,,592.92,,,,,,27.0,,,,,,,,2.0,,,,,,24.0,,1.0,,,,,,1342.128,,18.72,,,,,,147.62,,,,,,227.678,,948.1099999999999,,,,,,39.0,,1.0,,,,,,2.0,,,,,,34.0,,2.0,,,,,592.92,0.0,1.0,0.0,966.8299999999999,3.0,0.0,0.0,4.0,20.0,8.0,26.0,76.47058823529412
4,Abington,2015,,599.3100000000001,,,,,,57.46,,,,,,,,541.85,,,,,,,,75.0,,,,,,1.0,,,,,,,,74.0,,,,,,,,1941.4379999999999,,18.72,,,,57.46,,147.62,,,,,,769.528,,948.1099999999999,,,,,,114.0,,1.0,,,,1.0,,2.0,,,,,,108.0,,2.0,,,,,0.0,0.0,0.0,0.0,966.8299999999999,3.0,0.0,0.0,11.0,63.0,19.0,89.0,82.4074074074074
5,Abington,2016,,1553.395,,20.79,,,,,,,,,,996.74,,535.865,,,,,,,,72.0,,1.0,,,,,,,,,,1.0,,70.0,,,,,,,,3494.8329999999996,,39.51,,,,57.46,,147.62,,,,996.74,,1305.393,,948.1099999999999,,,,,,186.0,,2.0,,,,1.0,,2.0,,,,1.0,,178.0,,2.0,,,,,20.79,0.0,1.0,0.0,987.6199999999999,4.0,0.0,0.0,15.0,55.0,34.0,144.0,80.89887640449439
6,Abington,2017,,213.14000000000001,,62.09,,,,,,,,,,,,151.05,,,,,,,,22.0,,2.0,,,,,,,,,,,,20.0,,,,,,,,3707.973,,101.6,,,,57.46,,147.62,,,,996.74,,1456.443,,948.1099999999999,,,,,,208.0,,4.0,,,,1.0,,2.0,,,,1.0,,198.0,,2.0,,,,,62.09,0.0,2.0,0.0,1049.7099999999998,6.0,0.0,0.0,6.0,14.0,40.0,158.0,79.79797979797979
7,Abington,2018,,699.725,,,,,,,,,496.8,,,4.425,,198.5,,,,,,,,23.0,,,,,,,,,1.0,,,1.0,,21.0,,,,,,,,4407.698,,101.6,,,,57.46,,147.62,496.8,,,1001.165,,1654.943,,948.1099999999999,,,,,,231.0,,4.0,,,,1.0,,2.0,1.0,,,2.0,,219.0,,2.0,,,,,0.0,496.8,0.0,1.0,1049.7099999999998,6.0,1.0,496.8,10.0,11.0,50.0,169.0,77.1689497716895
8,Abington,2019,,218.045,,,,,,,,15.05,,,,37.86,,165.135,,,,,,,,21.0,,,,,,,,1.0,,,,4.0,,16.0,,,,,,,,4625.743,,101.6,,,,57.46,,162.67000000000002,496.8,,,1039.025,,1820.078,,948.1099999999999,,,,,,252.0,,4.0,,,,1.0,,3.0,1.0,,,6.0,,235.0,,2.0,,,,,0.0,0.0,0.0,0.0,1049.7099999999998,6.0,1.0,496.8,4.0,12.0,54.0,181.0,77.02127659574468
9,Abington,2020,,291.84,,,,,,,,,,,,,,291.84,,,,,,,,35.0,,,,,,,,,,,,,,35.0,,,,,,,,4917.5830000000005,,101.6,,,,57.46,,162.67000000000002,496.8,,,1039.025,,2111.918,,948.1099999999999,,,,,,287.0,,4.0,,,,1.0,,3.0,1.0,,,6.0,,270.0,,2.0,,,,,0.0,0.0,0.0,0.0,1049.7099999999998,6.0,1.0,496.8,11.0,24.0,65.0,205.0,75.92592592592592
